FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Suat Bairwa,37,Female,HR Coordinator (Entry-level),HR,Nov-50,Office- First,61,4,With Partner,Dedicated Room,40,1,5,9,2,5,7,95,15-60 minutes,"email,MS teams,asana,zoom,notion",4,5,5,1,2,5,3,3,1,6,4,Not Sure,No,1,,,,,,,,,,,3.2,3.0,3.6666666666666665,,"HR Coordinator (Entry-level) email,MS teams,asana,zoom,notion",0,1,5,3,3
Karul Nadkarni,24,Female,HR Manager,HR,1001-5000,Hybrid,84,2,With Partner,Shared Space(Kitchen/Living Room),49,2,1,9,3,1,9,139,<15 minutes,"jira,email",5,2,1,3,1,4,3,4,5,9,4,Yes,Yes,2,,,,,,,,,,,3.2,1.5,3.6666666666666665,,"HR Manager jira,email",0,1,1,2,3
Riuth Hela,46,Male,Recruitment Operations Analyst,HR,Nov-50,Flexible/ Variable,64,4,With Partner,Dedicated Room,42,1,3,10,3,2,6,149,>24 hours,"email,zoom,slack,jira",1,1,2,5,4,1,4,1,4,6,3,Yes,Yes,1,,,,,,,,,,,2.6,2.0,2.0,,"Recruitment Operations Analyst email,zoom,slack,jira",1,1,5,0,3
Karuv Netam,43,Female,Project Manager,Software Development,Nov-50,Fully Remote,141,5,Shared Accommodation,Dedicated Room,36,2,7,4,3,4,2,147,1-4 hours,"zoom,email,google meet",2,5,4,3,2,5,4,1,1,9,2,Yes,No,2,,,,,,,,,,,3.0,4.5,3.3333333333333335,,"Project Manager zoom,email,google meet",0,5,5,1,1
Arraaj Pandita,37,Male,Systems Engineer,Operations,51-200,Flexible/ Variable,90,4,Shared Accommodation,Shared Space(Kitchen/Living Room),24,5,4,6,3,1,3,118,<15 minutes,"email,zoom,jira",4,1,2,2,5,5,5,2,2,8,3,No,Don't Know,4,,,,,,,,,,,2.2,4.5,4.0,,"Systems Engineer email,zoom,jira",1,2,4,0,1
Nitaaj Tulsian,23,Female,Systems Engineer,Operations,01-Oct,Flexible/ Variable,23,2,Live Alone,Co-Working Space,30,5,6,4,2,1,10,110,>24 hours,"zoom,email",4,2,4,5,4,2,1,3,3,9,5,Not Sure,Don't Know,3,,,,,,,,,,,3.6,5.5,2.0,,"Systems Engineer zoom,email",0,2,0,0,0
Maik Jamal,25,Male,HR Coordinator (Entry-level),HR,01-Oct,Flexible/ Variable,7,1,With Partner,Desk In Shared Room,44,1,1,10,3,3,6,88,4-24 hours,"asana,slack,google meet",3,3,4,3,4,5,5,3,2,9,3,No,No,1,,,,,,,,,,,3.0,1.0,4.333333333333333,,"HR Coordinator (Entry-level) asana,slack,google meet",1,1,0,0,3
Lasim Jha,44,Male,Customer Success Manager,Sales,01-Oct,Fully Remote,90,3,Shared Accommodation,Dedicated Room,36,5,6,9,5,4,11,144,15-60 minutes,"jira,email,notion",4,3,4,3,1,2,2,4,5,9,4,No,Don't Know,4,,,,,,,,,,,3.8,5.5,2.6666666666666665,,"Customer Success Manager jira,email,notion",1,4,0,1,1
Laem Sawant,33,Male,Security Architect,Software Development,1001-5000,Fully Remote,74,2,With Children,Desk In Shared Room,42,3,2,9,1,1,3,134,15-60 minutes,"jira,email,asana,slack,notion",4,3,2,2,4,3,2,5,5,6,1,Not Sure,Yes,1,,,,,,,,,,,3.2,2.5,3.3333333333333335,,"Security Architect jira,email,asana,slack,notion",1,5,1,1,2
Visih Bedla,44,Male,Penetration Tester / Ethical Hacker,Software Development,01-Oct,Flexible/ Variable,101,2,Live Alone,Desk In Shared Room,25,5,6,7,3,1,9,125,1-4 hours,"asana,google meet,email",2,3,4,1,5,4,5,4,2,9,5,Not Sure,Yes,4,,,,,,,,,,,2.4,5.5,4.333333333333333,,"Penetration Tester / Ethical Hacker asana,google meet,email",1,5,0,0,0
Sakshi Gadkari,27,Female,Software Developer / Engineer,Software Development,5001+,Office- First,41,5,Live Alone,Dedicated Room,45,3,1,6,5,2,11,70,4-24 hours,"zoom,asana,jira,email",5,1,4,3,2,3,2,2,5,7,4,No,No,5,,,,,,,,,,,3.6,2.0,2.3333333333333335,,"Software Developer / Engineer zoom,asana,jira,email",0,5,3,3,0
Krmith Pawar,37,Female,Sourcer / Talent Sourcer,HR,51-200,Flexible/ Variable,12,4,Shared Accommodation,Co-Working Space,45,1,2,10,5,3,7,126,1-4 hours,"jira,notion",1,2,1,2,4,3,3,5,5,9,2,Yes,Don't Know,2,,,,,,,,,,,2.2,1.5,3.6666666666666665,,"Sourcer / Talent Sourcer jira,notion",0,1,4,0,1
Artam Dhoot,36,Male,Technical Architect,Software Development,5001+,Office- First,7,3,Live Alone,Desk In Shared Room,38,2,4,8,2,3,3,107,1-4 hours,"asana,slack,MS teams,email",4,5,2,4,5,1,5,4,1,8,1,No,No,1,,,,,,,,,,,3.2,3.0,3.3333333333333335,,"Technical Architect asana,slack,MS teams,email",1,5,3,3,0
Prrur Panwar,23,Female,Program Manager,Software Development,201-1000,Fully Remote,103,3,With Partner,Shared Space(Kitchen/Living Room),41,5,2,10,5,4,9,142,>24 hours,"email,jira,asana",3,3,5,4,2,4,1,5,5,9,3,No,No,1,,,,,,,,,,,4.0,3.5,3.3333333333333335,,"Program Manager email,jira,asana",0,5,2,1,3
Maav Chutia,37,Male,Data Governance Specialist,Software Development,01-Oct,Flexible/ Variable,144,5,Shared Accommodation,Desk In Shared Room,42,4,1,5,2,1,7,109,<15 minutes,"google meet,slack,email,MS teams,zoom",2,5,2,4,2,1,5,4,5,8,5,No,No,3,,,,,,,,,,,3.6,2.5,3.3333333333333335,,"Data Governance Specialist google meet,slack,email,MS teams,zoom",1,5,0,0,1
Hataya Kaushik,38,Female,NLP Engineer,Software Development,01-Oct,Fully Remote,40,2,Shared Accommodation,Dedicated Room,29,4,7,6,5,3,11,140,15-60 minutes,"notion,email",4,4,5,1,4,1,5,4,2,7,3,Not Sure,Yes,4,,,,,,,,,,,3.2,5.5,3.3333333333333335,,"NLP Engineer notion,email",0,5,0,1,1
Shiesh Purohit,28,Female,Solutions Architect,Software Development,1001-5000,Hybrid,60,4,Shared Accommodation,Desk In Shared Room,31,1,1,4,5,2,2,144,1-4 hours,"email,jira,zoom,MS teams",5,2,1,5,4,3,5,3,5,7,2,Not Sure,No,3,,,,,,,,,,,3.6,1.0,3.6666666666666665,,"Solutions Architect email,jira,zoom,MS teams",0,5,1,2,1
Karan Vishwakarma,49,Female,VP of Engineering,Software Development,201-1000,Hybrid,72,4,With Partner,Shared Space(Kitchen/Living Room),41,4,7,8,1,4,3,81,<15 minutes,"slack,zoom,MS teams,email,notion",1,3,4,4,4,3,4,4,5,7,2,Not Sure,Yes,4,,,,,,,,,,,3.4,5.5,3.6666666666666665,,"VP of Engineering slack,zoom,MS teams,email,notion",0,5,2,2,3
Nivith Srivastav,34,Female,Technical Account Manager,Sales,201-1000,Fully Remote,148,2,With Children,Co-Working Space,23,2,7,9,2,5,11,124,<15 minutes,"jira,google meet,MS teams,notion,zoom",5,4,3,1,5,2,3,2,1,6,3,No,Yes,5,,,,,,,,,,,2.8,4.5,2.3333333333333335,,"Technical Account Manager jira,google meet,MS teams,notion,zoom",0,4,2,1,2
Gaor Pathak,39,Male,Cloud FinOps Analyst,Operations,01-Oct,Hybrid,153,4,Live Alone,Dedicated Room,38,3,5,5,1,2,1,76,1-4 hours,"asana,MS teams,zoom",3,4,4,1,4,3,2,5,2,6,1,Not Sure,Don't Know,1,,,,,,,,,,,2.8,4.0,3.3333333333333335,,"Cloud FinOps Analyst asana,MS teams,zoom",1,2,0,2,0
Shyaaj Reddy,30,Male,Site Reliability Engineer (SRE),Operations,201-1000,Fully Remote,71,3,Live Alone,Co-Working Space,48,3,4,9,2,1,1,126,<15 minutes,"email,google meet,notion",5,3,4,5,1,3,5,3,1,8,5,No,Don't Know,4,,,,,,,,,,,3.6,3.5,3.6666666666666665,,"Site Reliability Engineer (SRE) email,google meet,notion",1,2,2,1,0
Saram Chauhan,26,Male,Kubernetes Engineer,Operations,1001-5000,Office- First,147,2,Live Alone,Desk In Shared Room,36,5,2,6,5,5,12,105,4-24 hours,"zoom,notion,jira,asana",5,5,2,1,5,2,5,2,1,9,4,Not Sure,Yes,2,,,,,,,,,,,2.8,3.5,3.0,,"Kubernetes Engineer zoom,notion,jira,asana",1,2,1,3,0
Vishan Mohanty,32,Male,Data Architect,Software Development,51-200,Office- First,106,4,Shared Accommodation,Co-Working Space,34,2,4,8,4,5,12,124,>24 hours,"jira,zoom,asana,slack,email",5,2,2,5,4,2,1,2,1,8,2,Yes,Yes,2,,,,,,,,,,,3.0,3.0,1.6666666666666667,,"Data Architect jira,zoom,asana,slack,email",1,5,4,3,1
Krav Kori,23,Male,Cloud Engineer,Operations,201-1000,Hybrid,145,2,With Partner,Co-Working Space,52,2,6,7,5,4,7,75,1-4 hours,"jira,zoom",5,2,5,3,3,3,4,2,5,9,2,No,Don't Know,3,,,,,,,,,,,4.0,4.0,3.0,,"Cloud Engineer jira,zoom",1,2,2,2,3
Nirah Bhandari,38,Female,Machine Learning Engineer,Software Development,1001-5000,Office- First,18,2,Shared Accommodation,Shared Space(Kitchen/Living Room),27,3,7,5,2,4,1,84,>24 hours,"asana,jira,MS teams,google meet",5,3,1,2,2,3,1,2,4,6,1,Not Sure,Yes,3,,,,,,,,,,,3.0,5.0,2.0,,"Machine Learning Engineer asana,jira,MS teams,google meet",0,5,1,3,1
Kritika Bhatt,43,Female,DevOps Engineer,Operations,201-1000,Flexible/ Variable,73,2,With Children,Co-Working Space,48,2,3,9,5,2,11,111,1-4 hours,"notion,email,zoom,asana",1,3,4,1,2,5,1,1,4,8,3,Yes,Yes,5,,,,,,,,,,,2.6,2.5,2.3333333333333335,,"DevOps Engineer notion,email,zoom,asana",0,2,2,0,2
Myra Apte,27,Female,Technical Account Manager,Sales,51-200,Fully Remote,107,2,Shared Accommodation,Desk In Shared Room,27,3,6,10,2,1,1,117,>24 hours,"notion,slack,jira",5,4,5,4,3,2,3,3,4,8,4,No,No,4,,,,,,,,,,,4.4,4.5,2.6666666666666665,,"Technical Account Manager notion,slack,jira",0,4,4,1,1
Mashash Khemka,38,Male,VP of Human Resources,HR,51-200,Flexible/ Variable,16,2,With Children,Co-Working Space,22,4,2,5,4,1,4,131,<15 minutes,"zoom,asana",5,1,3,5,4,5,2,4,1,6,5,Not Sure,Yes,2,,,,,,,,,,,3.0,3.0,3.6666666666666665,,"VP of Human Resources zoom,asana",1,1,4,0,2
Arek Jain,43,Male,Campus Recruiter,HR,01-Oct,Office- First,51,2,Shared Accommodation,Desk In Shared Room,43,2,7,4,1,1,8,146,4-24 hours,"MS teams,asana,zoom",1,3,4,1,5,3,2,2,5,9,3,Yes,Yes,4,,,,,,,,,,,2.8,4.5,2.3333333333333335,,"Campus Recruiter MS teams,asana,zoom",1,1,0,3,1
Tasit Bhonsle,23,Female,CTO (Chief Technology Officer),Software Development,5001+,Office- First,51,3,Shared Accommodation,Desk In Shared Room,40,5,1,6,5,3,2,104,1-4 hours,"zoom,notion",2,3,5,1,5,2,5,4,5,8,5,Yes,No,4,,,,,,,,,,,3.2,3.0,3.6666666666666665,,"CTO (Chief Technology Officer) zoom,notion",0,5,3,3,1
Anaesh Sengupta,29,Male,Scrum Master,Software Development,01-Oct,Hybrid,147,3,With Partner,Shared Space(Kitchen/Living Room),34,4,1,5,2,1,2,147,15-60 minutes,"zoom,MS teams",3,4,4,1,1,2,4,3,3,6,5,Not Sure,Yes,3,,,,,,,,,,,3.0,2.5,3.0,,"Scrum Master zoom,MS teams",1,5,0,2,3
Gaem Bangar,43,Male,Solutions Architect,Software Development,51-200,Flexible/ Variable,161,5,With Children,Desk In Shared Room,40,4,2,10,4,2,2,78,1-4 hours,"google meet,asana,MS teams,slack",3,3,3,5,3,3,4,2,3,8,3,Not Sure,No,4,,,,,,,,,,,3.4,3.0,3.0,,"Solutions Architect google meet,asana,MS teams,slack",1,5,4,0,2
Jashash Padhiyar,41,Male,Embedded Systems Engineer,Operations,51-200,Office- First,64,3,With Partner,Shared Space(Kitchen/Living Room),52,1,7,6,2,2,1,142,15-60 minutes,"zoom,jira,asana,google meet,email",4,3,1,1,5,3,3,4,2,6,3,Not Sure,No,2,,,,,,,,,,,2.2,4.0,3.3333333333333335,,"Embedded Systems Engineer zoom,jira,asana,google meet,email",1,2,4,3,3
Kauesh Dutta,37,Male,Network Administrator,Operations,201-1000,Fully Remote,62,5,With Partner,Shared Space(Kitchen/Living Room),45,5,2,5,4,4,5,100,4-24 hours,"asana,zoom,slack,email,google meet",4,3,4,2,5,2,2,5,4,9,5,No,Don't Know,3,,,,,,,,,,,3.4,3.5,3.0,,"Network Administrator asana,zoom,slack,email,google meet",1,2,2,1,3
Risham Acharya,29,Male,Systems Engineer,Operations,51-200,Flexible/ Variable,19,1,With Partner,Dedicated Room,24,5,6,7,3,4,10,99,>24 hours,"MS teams,zoom,google meet",2,1,1,5,4,5,2,2,5,8,4,Not Sure,Yes,4,,,,,,,,,,,2.8,5.5,3.0,,"Systems Engineer MS teams,zoom,google meet",1,2,4,0,3
Jaam Pillai,29,Female,HR Coordinator (Entry-level),HR,Nov-50,Flexible/ Variable,34,4,Shared Accommodation,Shared Space(Kitchen/Living Room),52,4,2,10,3,1,4,148,>24 hours,"jira,zoom,MS teams",2,4,5,2,4,3,1,3,5,8,2,Yes,Don't Know,5,,,,,,,,,,,3.6,3.0,2.3333333333333335,,"HR Coordinator (Entry-level) jira,zoom,MS teams",0,1,5,0,1
Savih Jha,25,Male,Data Governance Specialist,Software Development,51-200,Flexible/ Variable,70,5,With Children,Co-Working Space,31,5,2,9,4,3,3,103,1-4 hours,"jira,google meet",1,5,5,5,3,4,1,2,3,6,3,No,Don't Know,3,,,,,,,,,,,3.8,3.5,2.3333333333333335,,"Data Governance Specialist jira,google meet",1,5,4,0,2
Aadhya Bhadriraju,33,Female,CTO (Chief Technology Officer),Software Development,51-200,Fully Remote,122,2,Live Alone,Co-Working Space,41,3,5,5,4,5,10,106,15-60 minutes,"zoom,asana",2,1,5,1,3,3,5,2,2,8,1,Not Sure,Yes,3,,,,,,,,,,,2.2,4.0,3.3333333333333335,,"CTO (Chief Technology Officer) zoom,asana",0,5,4,1,0
Armir Karmarkar,26,Male,AR/VR Developer,Software Development,1001-5000,Office- First,69,1,Shared Accommodation,Dedicated Room,36,5,6,9,1,4,8,150,<15 minutes,"google meet,zoom,MS teams",5,2,1,2,5,4,3,5,1,9,2,Not Sure,Yes,4,,,,,,,,,,,2.2,5.5,4.0,,"AR/VR Developer google meet,zoom,MS teams",1,5,1,3,1
Dhoth Gupta,26,Male,Software Developer / Engineer,Software Development,201-1000,Fully Remote,70,1,Live Alone,Desk In Shared Room,39,3,7,10,4,4,12,83,1-4 hours,"email,google meet",5,4,4,2,4,3,4,1,5,9,1,Yes,Yes,2,,,,,,,,,,,4.0,5.0,2.6666666666666665,,"Software Developer / Engineer email,google meet",1,5,2,1,0
Suviv Chechani,45,Male,Product Manager,Product,1001-5000,Hybrid,109,2,Live Alone,Dedicated Room,48,3,4,4,2,3,3,132,<15 minutes,"notion,zoom",5,3,2,5,3,2,4,4,5,7,2,Yes,Don't Know,3,,,,,,,,,,,4.0,3.5,3.3333333333333335,,"Product Manager notion,zoom",1,3,1,2,0
Tasim Bangar,24,Female,Business Analyst,Software Development,5001+,Hybrid,147,2,With Partner,Dedicated Room,48,1,6,10,5,3,12,96,<15 minutes,"zoom,notion",1,1,1,1,4,4,1,5,5,9,2,No,No,5,,,,,,,,,,,1.8,3.5,3.3333333333333335,,"Business Analyst zoom,notion",0,5,3,2,3
Jasmit Prasad,28,Male,Kubernetes Engineer,Operations,01-Oct,Hybrid,61,5,With Children,Desk In Shared Room,26,1,2,9,2,4,5,127,>24 hours,"notion,zoom",3,2,4,2,5,4,5,4,3,8,2,No,No,2,,,,,,,,,,,2.8,1.5,4.333333333333333,,"Kubernetes Engineer notion,zoom",1,2,0,2,2
Pruaj Vishwanath,32,Male,IT Director,Software Development,Nov-50,Fully Remote,119,2,With Partner,Shared Space(Kitchen/Living Room),46,2,3,7,2,2,11,122,<15 minutes,"zoom,email,asana,google meet,slack",1,3,3,1,2,2,3,4,2,7,5,Yes,Yes,3,,,,,,,,,,,2.0,2.5,3.0,,"IT Director zoom,email,asana,google meet,slack",1,5,5,1,3
Sasham Nirban,46,Male,Automation Engineer,Software Development,Nov-50,Office- First,141,2,With Partner,Co-Working Space,29,5,2,7,4,3,12,124,1-4 hours,"email,zoom",2,5,3,4,2,1,3,2,3,7,5,Yes,Yes,3,,,,,,,,,,,3.4,3.5,2.0,,"Automation Engineer email,zoom",1,5,5,3,3
Rashaan Srivastava,48,Female,Network Administrator,Operations,201-1000,Office- First,152,2,Shared Accommodation,Co-Working Space,36,1,1,6,1,3,5,116,1-4 hours,"email,jira,MS teams",4,3,1,4,2,1,1,4,1,9,2,No,Yes,2,,,,,,,,,,,2.6,1.0,2.0,,"Network Administrator email,jira,MS teams",0,2,2,3,1
Dhmian Bhargava,45,Male,Data Scientist,Software Development,51-200,Flexible/ Variable,139,2,Shared Accommodation,Desk In Shared Room,19,3,2,6,2,5,2,108,<15 minutes,"asana,google meet,email",5,2,2,1,4,3,2,3,2,7,2,Yes,No,3,,,,,,,,,,,2.4,2.5,2.6666666666666665,,"Data Scientist asana,google meet,email",1,5,4,0,1
Tait Agarwal,30,Male,Product Marketing Manager,Product,5001+,Office- First,165,3,Shared Accommodation,Desk In Shared Room,46,2,6,9,1,2,5,136,15-60 minutes,"google meet,email",5,2,2,4,1,2,5,1,2,6,1,Yes,No,4,,,,,,,,,,,3.0,4.0,2.6666666666666665,,"Product Marketing Manager google meet,email",1,3,3,3,1
Raak Kansal,31,Male,Compliance & Risk Analyst,Software Development,201-1000,Hybrid,155,3,With Children,Desk In Shared Room,49,1,4,10,2,4,11,102,<15 minutes,"google meet,asana,notion,slack",5,1,4,5,5,1,5,5,3,6,2,Yes,Don't Know,5,,,,,,,,,,,3.6,2.5,3.6666666666666665,,"Compliance & Risk Analyst google meet,asana,notion,slack",1,5,2,2,2
Janaaj Kedia,38,Female,Data Governance Specialist,Software Development,5001+,Hybrid,29,2,Live Alone,Desk In Shared Room,41,5,7,7,2,2,9,101,4-24 hours,"slack,zoom,notion,google meet,MS teams",2,1,4,2,5,1,4,5,2,7,1,Yes,Don't Know,1,,,,,,,,,,,2.2,6.0,3.3333333333333335,,"Data Governance Specialist slack,zoom,notion,google meet,MS teams",0,5,3,2,0
Kram Gaur,49,Male,Business Analyst,Software Development,01-Oct,Hybrid,100,2,Shared Accommodation,Dedicated Room,44,5,5,7,5,3,8,132,1-4 hours,"MS teams,jira,zoom,notion,slack",1,2,1,4,5,3,3,4,1,7,2,Not Sure,No,5,,,,,,,,,,,1.8,5.0,3.3333333333333335,,"Business Analyst MS teams,jira,zoom,notion,slack",1,5,0,2,1
Tanash Renu,46,Female,Engineering Manager,Software Development,Nov-50,Office- First,133,4,Live Alone,Shared Space(Kitchen/Living Room),47,3,5,10,1,4,6,69,4-24 hours,"zoom,slack,jira,asana,email",4,5,4,5,2,5,5,3,2,6,4,No,No,5,,,,,,,,,,,4.0,4.0,4.333333333333333,,"Engineering Manager zoom,slack,jira,asana,email",0,5,5,3,0
Aem Kulkarni,30,Male,Machine Learning Engineer,Software Development,1001-5000,Fully Remote,110,2,With Children,Dedicated Room,47,5,4,4,1,4,5,89,1-4 hours,"notion,MS teams,email",2,2,3,3,4,4,1,3,2,9,5,Not Sure,Don't Know,2,,,,,,,,,,,2.4,4.5,2.6666666666666665,,"Machine Learning Engineer notion,MS teams,email",1,5,1,1,2
Haraan Goel,46,Female,Solutions Consultant,Software Development,201-1000,Hybrid,25,5,With Partner,Dedicated Room,30,3,5,4,2,1,6,86,1-4 hours,"google meet,email,zoom,MS teams,asana",5,5,2,3,3,3,3,2,3,9,3,Not Sure,Don't Know,5,,,,,,,,,,,3.6,4.0,2.6666666666666665,,"Solutions Consultant google meet,email,zoom,MS teams,asana",0,5,2,2,3
Dhov Bhansali,45,Male,Platform Engineer,Operations,51-200,Flexible/ Variable,38,1,Shared Accommodation,Shared Space(Kitchen/Living Room),44,3,4,8,5,2,6,62,<15 minutes,"zoom,notion",3,5,1,3,2,5,3,5,3,6,5,Not Sure,Yes,1,,,,,,,,,,,3.0,3.5,4.333333333333333,,"Platform Engineer zoom,notion",1,2,4,0,1
Kasit Pai,35,Male,Game Developer,Software Development,1001-5000,Hybrid,45,2,With Children,Desk In Shared Room,34,5,1,6,2,5,8,80,1-4 hours,"zoom,google meet,email,slack,jira",4,3,3,3,2,5,1,4,1,6,2,Not Sure,Yes,3,,,,,,,,,,,2.8,3.0,3.3333333333333335,,"Game Developer zoom,google meet,email,slack,jira",1,5,1,2,2
Rirav Rana,44,Female,Virtualization Engineer,Operations,1001-5000,Office- First,104,5,With Children,Dedicated Room,44,2,7,9,4,2,10,124,15-60 minutes,"asana,zoom",2,3,4,1,4,3,1,3,4,7,3,Yes,Yes,5,,,,,,,,,,,2.8,4.5,2.3333333333333335,,"Virtualization Engineer asana,zoom",0,2,1,3,2
Vishah Suryavanshi,44,Female,VP of Engineering,Software Development,51-200,Hybrid,145,3,Shared Accommodation,Dedicated Room,40,5,4,8,3,1,3,62,<15 minutes,"notion,zoom,slack,jira,asana",3,1,3,5,3,1,5,4,1,7,5,Yes,Yes,1,,,,,,,,,,,2.6,4.5,3.3333333333333335,,"VP of Engineering notion,zoom,slack,jira,asana",0,5,4,2,1
Tatah Ghosh,44,Male,Pre-Sales Engineer,Sales,51-200,Hybrid,129,4,Shared Accommodation,Dedicated Room,20,1,1,10,1,1,6,108,15-60 minutes,"zoom,email,MS teams",2,2,1,1,3,3,1,3,2,7,4,Yes,Yes,3,,,,,,,,,,,1.6,1.0,2.3333333333333335,,"Pre-Sales Engineer zoom,email,MS teams",1,4,4,2,1
Rikan Padhiyar,31,Female,Data Governance Specialist,Software Development,5001+,Flexible/ Variable,16,3,With Children,Desk In Shared Room,48,3,4,8,1,3,3,141,4-24 hours,"MS teams,notion,jira,google meet,email",4,3,2,3,2,5,2,1,1,9,4,No,No,3,,,,,,,,,,,2.6,3.5,2.6666666666666665,,"Data Governance Specialist MS teams,notion,jira,google meet,email",0,5,3,0,2
Gaaan Hela,24,Female,Customer Success Manager,Sales,51-200,Hybrid,8,3,Shared Accommodation,Shared Space(Kitchen/Living Room),42,3,7,5,2,5,9,129,4-24 hours,"asana,slack,google meet,notion,MS teams",2,4,1,1,5,3,3,3,2,8,2,Yes,Don't Know,3,,,,,,,,,,,2.0,5.0,3.0,,"Customer Success Manager asana,slack,google meet,notion,MS teams",0,4,4,2,1
Ataya Shah,43,Male,Backup & Recovery Specialist,Operations,01-Oct,Fully Remote,21,5,Live Alone,Shared Space(Kitchen/Living Room),52,5,3,6,1,5,7,81,15-60 minutes,"jira,asana",4,2,4,2,1,2,5,1,3,8,5,Not Sure,Yes,1,,,,,,,,,,,3.0,4.0,2.6666666666666665,,"Backup & Recovery Specialist jira,asana",1,2,0,1,0
Shyat Krishnan,34,Male,CIO (Chief Information Officer),Software Development,1001-5000,Flexible/ Variable,111,3,With Partner,Desk In Shared Room,39,2,6,7,2,5,4,143,>24 hours,"email,notion,slack",3,3,1,3,5,4,3,4,1,9,4,Yes,No,3,,,,,,,,,,,2.2,4.0,3.6666666666666665,,"CIO (Chief Information Officer) email,notion,slack",1,5,1,0,3
Rikaesh Kadivar,33,Female,Technical Product Manager,Product,1001-5000,Flexible/ Variable,94,3,With Children,Desk In Shared Room,25,5,2,6,5,3,11,82,<15 minutes,"notion,asana",3,4,1,2,1,2,1,5,4,9,5,Not Sure,Yes,1,,,,,,,,,,,2.8,3.5,2.6666666666666665,,"Technical Product Manager notion,asana",0,3,1,0,2
Rait Tanwar,23,Male,Security Architect,Software Development,01-Oct,Office- First,11,3,With Partner,Shared Space(Kitchen/Living Room),34,3,6,4,3,1,2,143,1-4 hours,"google meet,email,notion,jira",3,2,1,1,1,3,1,1,4,9,5,No,Don't Know,4,,,,,,,,,,,2.2,4.5,1.6666666666666667,,"Security Architect google meet,email,notion,jira",1,5,0,3,3
Rinian Lohani,37,Male,Front-End Developer,Software Development,1001-5000,Fully Remote,132,5,Shared Accommodation,Dedicated Room,35,3,3,4,2,3,2,114,>24 hours,"google meet,email,zoom",5,4,4,2,2,2,2,3,2,8,2,Yes,Don't Know,3,,,,,,,,,,,3.4,3.0,2.3333333333333335,,"Front-End Developer google meet,email,zoom",1,5,1,1,1
Kroh Jatav,30,Female,Cloud Security Engineer,Operations,5001+,Hybrid,6,2,Shared Accommodation,Shared Space(Kitchen/Living Room),41,4,5,6,5,1,7,72,4-24 hours,"asana,google meet",1,2,3,2,5,4,3,3,2,9,5,No,Don't Know,5,,,,,,,,,,,2.0,4.5,3.3333333333333335,,"Cloud Security Engineer asana,google meet",0,2,3,2,1
Sashaaj Kabra,35,Male,Technical Architect,Software Development,201-1000,Flexible/ Variable,140,2,Shared Accommodation,Desk In Shared Room,42,1,1,4,1,4,8,96,4-24 hours,"asana,MS teams",1,1,2,5,1,4,3,2,3,8,3,Yes,Don't Know,1,,,,,,,,,,,2.4,1.0,3.0,,"Technical Architect asana,MS teams",1,5,2,0,1
Haresh Goswami,40,Male,Identity & Access Management (IAM) Specialist,Software Development,201-1000,Flexible/ Variable,68,2,Shared Accommodation,Desk In Shared Room,20,3,6,5,2,2,12,70,4-24 hours,"google meet,slack,MS teams",5,3,1,4,2,4,1,5,3,7,5,Yes,Don't Know,5,,,,,,,,,,,3.2,4.5,3.3333333333333335,,"Identity & Access Management (IAM) Specialist google meet,slack,MS teams",1,5,2,0,1
Riniya Basavaraj,31,Male,DevOps Engineer,Operations,Nov-50,Flexible/ Variable,42,1,With Children,Shared Space(Kitchen/Living Room),25,2,1,8,4,3,3,129,<15 minutes,"email,google meet",4,4,3,2,2,2,2,2,4,8,2,No,Don't Know,5,,,,,,,,,,,3.4,1.5,2.0,,"DevOps Engineer email,google meet",1,2,5,0,2
